Database Name	OperettaCLS
Database Link	http://10.20.176.50/ODA/OdaService.asmx
Evaluation Signature	af8b1d54-abee-46e8-8e0d-b6681e708724
Plate Name	20191212_CellCharacterisationX8_Normoxia
Measurement	Measurement 2
Evaluation	Evaluation1
Population	Population - Valid Cells

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Valid Cells - Nucleus Area [µm²]	Valid Cells - Nucleus Roundness	Valid Cells - Nucleus Ratio Width to Length	Valid Cells - Intensity Nuclei Mean	Valid Cells - Intensity Nuclei Sum	Valid Cells - Intensity Nuclei CV [%]	Valid Cells - Intensity Pax8 Mean	Valid Cells - Intensity Pax8 Sum	Valid Cells - Intensity Pax8 CV [%]	Valid Cells - Nuclei Selected	Valid Cells - Number of Micronuclei Candiates	Valid Cells - Number of Micronuclei- per Cell 	Valid Cells - Object No in Nuclei	Valid Cells - Valid with MN	Valid Cells - Nucleus Area [µm²]- Mean per Cell 	Valid Cells - Nucleus Roundness- Mean per Cell 	Valid Cells - Intensity Nuclei Mean- Mean per Cell 	Valid Cells - Intensity Nuclei Sum- Mean per Cell 	Valid Cells - Intensity Pax8 Mean- Mean per Cell 	Valid Cells - Intensity Pax8 Sum- Mean per Cell 	Valid Cells - Total Spot Area- Mean per Cell 	Valid Cells - Number of Centrosomes- per Cell - Mean per Cell 	Valid Cells - Valid cell with 2 or more Centrosomes	Valid Cells - Valid cells with MN and CA	
1	1	0	2	29	1190	2075	[1029,1989,1367,2158]	-603.78	724.7	Normoxia		CIOV1		87.5328	0.792112	0.448933	2820.3	27591000	22.1852	317.298	3104130	13.6247	0	0	0	29	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	3	1	184	93	[21,1,368,186]	736.41	505.03	Normoxia		CIOV1		108.327	0.8384	0.588081	3059.83	37045400	27.3853	349.691	4233700	15.4255	0	0	0	1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	3	2	1383	84	[1213,1,1564,175]	849.04	505.5	Normoxia		CIOV1		88.0429	0.761204	0.452017	2281.4	22449000	23.9768	328.671	3234120	15.8874	0	0	0	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	3	3	910	112	[730,1,1060,225]	803.35	502.91	Normoxia		CIOV1		151.167	0.919111	0.776866	3052.38	51570000	24.2004	346.597	5855760	16.0195	0	0	0	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	
1	1	0	3	4	583	324	[418,158,790,493]	773.35	481.48	Normoxia		CIOV1		181.132	0.918643	0.712141	3155.66	63883300	24.0135	335.271	6787220	14.6379	1	0	0	4	0	181.132	0.918643	3155.66	63883300	335.271	6787220	346	1	0	0	
1	1	0	3	5	270	400	[89,205,466,573]	744.62	474.65	Normoxia		CIOV1		247.236	0.967725	0.788477	4195.14	115920000	29.8425	357.645	9882460	13.6737	1	0	0	5	0	247.236	0.967725	4195.14	115920000	357.645	9882460	340	1	0	0	
1	1	0	3	6	709	614	[547,400,895,817]	786.05	454.19	Normoxia		CIOV1		251.504	0.94079	0.746668	2551.56	71721700	20.9822	370.087	10402800	16.1334	1	0	0	6	0	251.504	0.94079	2551.56	71721700	370.087	10402800	289	1	0	0	
1	1	0	3	7	355	690	[186,523,511,868]	751.27	446.7	Normoxia		CIOV1		185.767	0.944565	0.777819	3240.18	67272600	27.4524	354.267	7355300	14.4315	1	0	0	7	0	185.767	0.944565	3240.18	67272600	354.267	7355300	338	1	0	0	
1	1	0	3	8	120	838	[1,578,245,963]	728.76	438.18	Normoxia		CIOV1		164.221	0.89163	0.620278	3598.86	66053400	28.9495	314.703	5776070	14.1041	1	0	0	8	0	164.221	0.89163	3598.86	66053400	314.703	5776070	330	1	0	0	
1	1	0	3	9	1049	922	[871,767,1252,1078]	817.42	425.01	Normoxia		CIOV1		193.632	0.92227	0.621607	2688.63	58184600	24.256	348.557	7543130	14.8111	1	0	0	9	0	193.632	0.92227	2688.63	58184600	348.557	7543130	660	2	1	0	
