"cell_line","drug","fit_GR","fit_rel_cell","CL","agent","concentration_points","ctrl_cell_doublings","GR50","GRmax","GR_AOC","GEC50","GRinf","h_GR","r2_GR","pval_GR","flat_fit_GR","IC50","Emax","AUC","EC50","Einf","h","r2_rel_cell","pval_rel_cell","flat_fit_rel_cell","exp","identifier"
"COV318",11,"sigmoid","sigmoid","COV318","tozasertib",10,2.37387688309862,24.412184544237,-0.613393953271038,0.199195504742318,46.2286474494833,-1,1.72056775552372,0.968285000343962,1.04161195140719e-21,,22.4145487082877,0.0204761453587157,0.836500026257812,22.4145487082877,0,1.52422990971965,0.917219763933846,7.09534059786605e-16,,"exp2","COV318_exp2"
"COV318",12,"sigmoid","sigmoid","COV318","volasertib",10,2.37387688309862,0.562519753950172,-0.694468842735034,0.654628402874662,4.66732327081743,-1,0.519213869002082,0.89899473192031,1.15031387712927e-14,,0.497023132719671,0.0117594492242203,0.498758255731004,0.497023132719671,0,0.574065423728222,0.861482605695466,9.57327173002044e-13,,"exp2","COV318_exp2"
"NIH-OVCAR3",2,"sigmoid","sigmoid","NIH-OVCAR3","alisertib",10,2.24443465241593,2.26141913873146,-0.499583354297849,0.444917353888666,49.0438260925006,-1,0.357072356961251,0.310143196482929,0.0055287292777235,,4.63429068449282,0.0446544241815666,0.637499296903785,4.63429068449282,0,0.315713318265862,0.414089494895076,0.000561872771881995,,"exp2","NIH-OVCAR3_exp2"
"NIH-OVCAR3",3,"sigmoid","sigmoid","NIH-OVCAR3","az3146",10,2.24443465241593,8.95586908998265,-0.7410095753065,0.313065171024195,22.68810613543,-1,1.1818986199078,0.940999899127513,6.19353445846797e-18,,9.91320545755048,0.0105248852508184,0.769458236469155,9.91320545755048,0,1.45051277604967,0.929377352728362,7.67743063432113e-17,,"exp2","NIH-OVCAR3_exp2"
"NIH-OVCAR3",4,"sigmoid","sigmoid","NIH-OVCAR3","barasertib",10,2.24443465241593,15.4705334285075,-0.506194448281976,0.32467828535705,47.9828799947849,-1,0.970585178464063,0.563055039205032,9.24643436149362e-06,,12.7842682379439,0.0450139279081559,0.731591207879599,12.7842682379439,0,0.483623034755786,0.609053722919282,1.94822514695532e-06,,"exp2","NIH-OVCAR3_exp2"
"NIH-OVCAR3",5,"sigmoid","sigmoid","NIH-OVCAR3","bi2536",10,2.24443465241593,0.0099068010557358,-0.752876546418986,1.06244395533858,0.346186313128738,-1,0.309141204121497,0.866881648699105,5.48695024526899e-13,,0.00853045623279991,0.00954941175001012,0.241517162262278,0.00714442313630635,0.146968669990485,1.96294496593362,0.821988139131789,3.20837528565779e-11,,"exp2","NIH-OVCAR3_exp2"
"NIH-OVCAR3",6,"sigmoid","sigmoid","NIH-OVCAR3","cfi400945",10,2.24443465241593,11.3516778870194,-0.726893566402378,0.388514232174419,16.2525616077395,-0.751804987909573,2.55718059871311,0.874331530363193,2.45001401768749e-13,,11.8507145602456,0.0122193662048054,0.718940455900202,11.8507145602456,0,2.29284540395458,0.779196163348856,6.54775792578769e-10,,"exp2","NIH-OVCAR3_exp2"
"NIH-OVCAR3",7,"sigmoid","sigmoid","NIH-OVCAR3","cw069",10,2.24443465241593,74.9426082505384,0.298203095359868,0.0776098201358444,145.270025997441,-1,1.65985696693417,0.9209753930048,3.70401575771628e-16,,77.5251580612904,0.37914030147955,0.923858478570339,77.5251580612904,0,1.86959675851967,0.882305191849485,9.78593381962009e-14,,"exp2","NIH-OVCAR3_exp2"
"NIH-OVCAR3",8,"sigmoid","sigmoid","NIH-OVCAR3","gsk923295",10,2.24443465241593,0.0229005552370937,-0.720913474698341,0.768165311345423,0.0237256820136327,-0.0382259626321723,2.08126437943567,0.720184993766789,3.41003252844524e-08,,0.023082180102503,0.0120982781295316,0.387867060539599,0.0191580152125705,0.221234773389822,3.13533881389354,0.929738301296466,2.69588717946645e-16,,"exp2","NIH-OVCAR3_exp2"
"NIH-OVCAR3",9,"sigmoid","sigmoid","NIH-OVCAR3","oxaliplatin",10,2.24443465241593,15290.2614730395,0.791332837673465,0.0677887701398901,145.219372624541,0.81385638536397,0.1,0.00207344256024034,0.971359801788675,,598.712065644611,0.781264774265733,0.940777478098093,598.712065644611,0,0.751871560438566,0.0579896306296828,0.433290899601765,,"exp2","NIH-OVCAR3_exp2"
