"Row","Column","Timepoint","Centrosomes...Number.of.Objects","Centrosomes...Relative.Spot.Intensity...Mean.per.Well","Centrosomes...Spot.Contrast...Mean.per.Well","Centrosomes...Spot.Area..µm.....Mean.per.Well","Centrosomes...Spot.Roundness...Mean.per.Well","Centrosomes...Spot.Ratio.Width.to.Length...Mean.per.Well","Centrosomes...Intensity...Cep164.Mean...Mean.per.Well","Centrosomes...Intensity...Cep164.Contrast...Mean.per.Well","Centrosomes...Cep164.pos.Centrosomes...Mean.per.Well","Nuclei.Selected...Number.of.Objects","Nuclei.Selected...Nucleus.Area..µm.....Mean.per.Well","Nuclei.Selected...Nucleus.Roundness...Mean.per.Well","Nuclei.Selected...Nucleus.Ratio.Width.to.Length...Mean.per.Well","Nuclei.Selected...Intensity.Nuclei.Mean...Mean.per.Well","Cep164.pos.Centrosomes...Number.of.Objects","Number.of.Analyzed.Fields","Time..s.","Compound","Concentration","Cell.Type","Cell.Count","X","Plate"
3,8,0,1109,0.434695537517,0.656088708732,2.89881462137,0.942050111176,0.843546732179,1121.35507269,0.37850296218,0.981064021641,868,98.0522590933,0.865750635447,0.666937604569,8354.2169653,1088,5,0,"Stain3",NA,"OV-3331",30000,NA,"Plate12"
3,9,0,938,0.43279951819,0.656648254738,2.89479978036,0.944213263091,0.840777361963,1036.77737579,0.364375074479,0.986140724947,718,95.7589125346,0.857190288551,0.666530309385,9154.37317729,925,5,0,"Stain3",NA,"OV-3331",30000,NA,"Plate12"
1,7,0,3070,0.326237511018,0.581026608236,2.76282473294,0.917700416588,0.780696456875,457.990633639,0.188898941462,0.988599348534,1996,120.092480971,0.707690640864,0.545021026258,3909.68399113,3035,5,0,"Stain3",NA,"A2780",15000,NA,"Plate13"
1,8,0,2869,0.321987065225,0.58086405317,2.74591319293,0.915478330262,0.773990560315,477.206445756,0.192849514075,0.98117811084,1838,121.675222069,0.730306038413,0.55346898864,4152.4674029,2815,5,0,"Stain3",NA,"A2780",15000,NA,"Plate13"
1,9,0,3014,0.327699967581,0.584621535552,2.75892725142,0.917448611992,0.779337657391,497.033254736,0.208067272029,0.984074319841,1985,119.517061042,0.755701599445,0.570163422186,4274.9876727,2966,5,0,"Stain3",NA,"A2780",15000,NA,"Plate13"
2,7,0,876,0.369974182305,0.639868108027,2.82908592455,0.934037000677,0.807827692103,817.566603845,0.317361929258,0.97602739726,641,150.396156443,0.825338423898,0.611561934957,9683.48855485,855,5,0,"Stain3",NA,"OV-90",10000,NA,"Plate13"
2,8,0,578,0.38409203323,0.649185208378,2.84560679101,0.936602471104,0.813772638026,884.612433733,0.297284860726,0.974048442907,420,144.284246686,0.814714343119,0.600132649093,10202.2967518,563,5,0,"Stain3",NA,"OV-90",10000,NA,"Plate13"
2,9,0,585,0.363226528817,0.633083691997,2.84640508317,0.929830995387,0.801345194476,825.078673611,0.284913498727,0.969230769231,458,142.92344696,0.806638546521,0.585418938952,9553.71602752,567,5,0,"Stain3",NA,"OV-90",10000,NA,"Plate13"
1,7,0,497,0.443728276395,0.66675045931,2.87860833248,0.937080880491,0.832323994908,714.943201855,0.231189749366,0.959758551308,372,178.169878531,0.82530841812,0.629298373575,8451.6088168,477,5,0,"Stain3",NA,"OV-3133(2)",20000,NA,"Plate14"
1,8,0,555,0.438268478003,0.668209254216,2.83742797745,0.937546771862,0.8228361375,882.581752484,0.26519056662,0.962162162162,435,176.446335665,0.813288612472,0.634904831175,9185.67484453,534,5,0,"Stain3",NA,"OV-3133(2)",20000,NA,"Plate14"
1,9,0,637,0.428603866919,0.663892114908,2.83503184017,0.936781928108,0.817578480662,914.60071326,0.281393211378,0.951334379906,434,180.057541319,0.80407206928,0.633189853423,8629.77013179,606,5,0,"Stain3",NA,"OV-3133(2)",20000,NA,"Plate14"
2,7,0,148,0.348946395249,0.617188962219,2.79361961071,0.916780442243,0.792870896849,652.244427907,0.175528532074,0.891891891892,160,274.964412448,0.83128212955,0.582594726338,6675.32049325,132,5,0,"Stain3",NA,"OV-866(2)",3000,NA,"Plate14"
2,8,0,118,0.357021953489,0.606974714844,2.77997706292,0.916092897323,0.779163323744,673.105320259,0.186773941727,0.932203389831,146,243.766959813,0.832197496479,0.596355994051,7346.46456749,110,5,0,"Stain3",NA,"OV-866(2)",3000,NA,"Plate14"
2,9,0,97,0.324056368903,0.596784002547,2.73529504759,0.89768868976,0.75476876184,600.34082694,0.172534665922,0.927835051546,113,247.384375722,0.764338686963,0.545428287555,5757.51410268,90,5,0,"Stain3",NA,"OV-866(2)",3000,NA,"Plate14"
3,7,0,437,0.395104571009,0.680344427414,2.75263368151,0.932136251658,0.78982864733,667.387858784,0.160020389452,0.903890160183,217,178.797935751,0.911043419238,0.670784473504,10209.0221392,395,5,0,"Stain3",NA,"OV-90(MesMasson)",5000,NA,"Plate14"
3,8,0,506,0.403632095309,0.681015680827,2.79819048586,0.938288120651,0.802596938192,742.0152391,0.183693078369,0.946640316206,285,165.271112115,0.910080049247,0.664346070508,11057.3045863,479,5,0,"Stain3",NA,"OV-90(MesMasson)",5000,NA,"Plate14"
3,9,0,631,0.413868756051,0.688447362641,2.83542176205,0.938533306134,0.81053028276,747.00342999,0.183657424401,0.919175911252,395,150.051265373,0.906132268872,0.680885539925,11206.4759024,580,5,0,"Stain3",NA,"OV-90(MesMasson)",5000,NA,"Plate14"
4,7,0,545,0.384683886319,0.65283765221,2.86376816038,0.935819264421,0.819985300045,678.877920201,0.233981446385,0.961467889908,449,200.317075322,0.928184419611,0.691222856684,9724.54177351,524,5,0,"Stain3",NA,"TOV-1369M",10000,NA,"Plate14"
4,8,0,629,0.416249850724,0.677611813228,2.88489846942,0.947315921955,0.836368061338,782.651528879,0.265165631683,0.972972972973,399,187.100279871,0.900630451447,0.660572741361,11165.8399309,612,5,0,"Stain3",NA,"TOV-1369M",10000,NA,"Plate14"
4,9,0,490,0.380020404935,0.655008770711,2.87954878148,0.934798324933,0.818783861776,634.5415233,0.205160994334,0.920408163265,403,207.999477618,0.934422093781,0.694597208512,10111.3824206,451,5,0,"Stain3",NA,"TOV-1369M",10000,NA,"Plate14"
5,7,0,745,0.412813231531,0.658744415823,2.87001408035,0.939300830471,0.827357154434,715.128762637,0.205125886155,0.971812080537,544,147.466985125,0.847849147251,0.650255113264,8505.66788433,724,5,0,"Stain3",NA,"OV-4485",20000,NA,"Plate14"
5,8,0,783,0.404483645205,0.65482635273,2.82470336349,0.938391104886,0.813028007108,736.40185247,0.210902549085,0.952745849298,533,140.001394919,0.850399012604,0.644467972747,8769.38396699,746,5,0,"Stain3",NA,"OV-4485",20000,NA,"Plate14"
5,9,0,708,0.408379101503,0.658165874437,2.85161547125,0.93685332924,0.82039706722,685.128063427,0.207714028103,0.966101694915,514,147.221574847,0.843912194689,0.646938821228,8606.95910595,684,5,0,"Stain3",NA,"OV-4485",20000,NA,"Plate14"
6,7,0,270,0.361184156163,0.632231036314,2.79671845143,0.931624446667,0.802002715959,915.401090365,0.246563241397,0.966666666667,246,212.77339397,0.76389635895,0.572166173952,12563.4088361,261,5,0,"Stain3",NA,"PEA2",5000,NA,"Plate15"
6,8,0,274,0.383851132562,0.637865327599,2.89343041549,0.942787421446,0.830099255655,847.909231317,0.256407161732,0.970802919708,202,256.15665597,0.83765556362,0.618920775038,13515.166345,266,5,0,"Stain3",NA,"PEA2",5000,NA,"Plate15"
6,9,0,245,0.368757599559,0.635697435188,2.88456518305,0.93334806819,0.819619052936,989.672169352,0.245880232949,0.963265306122,212,242.858101852,0.804652248036,0.619771915921,13559.1599954,236,5,0,"Stain3",NA,"PEA2",5000,NA,"Plate15"
7,7,0,610,0.346938144751,0.608820255215,2.71869979831,0.918977917552,0.768884719199,809.509498276,0.218375905195,0.965573770492,448,189.74244025,0.90539574068,0.689631396853,8279.70230629,589,5,0,"Stain3",NA,"PEO23",15000,NA,"Plate15"
7,8,0,658,0.368968556576,0.62522224286,2.73975827854,0.928117387731,0.783355523477,794.341292844,0.220939358818,0.960486322188,507,176.91688952,0.905361217414,0.687066678753,8845.74960121,632,5,0,"Stain3",NA,"PEO23",15000,NA,"Plate15"
7,9,0,598,0.349022033311,0.603652723628,2.74469912782,0.921895385025,0.776220826398,760.930886463,0.203545356036,0.94983277592,457,188.001243482,0.898856214853,0.68275052382,8428.88258912,568,5,0,"Stain3",NA,"PEO23",15000,NA,"Plate15"
1,7,0,784,0.452883859497,0.668766157858,2.93971066563,0.941958803089,0.853930027608,1012.53488472,0.389124303145,0.968112244898,616,155.360766207,0.892413756431,0.616019666897,7620.31160364,759,5,0,"Stain3",NA,"FT194",5000,NA,"Plate16"
1,8,0,726,0.468420380929,0.681548041565,2.96674252166,0.94248498154,0.861880727384,1026.05053915,0.409591026678,0.957300275482,606,149.870202331,0.902595992666,0.619341736038,7910.93761328,695,5,0,"Stain3",NA,"FT194",5000,NA,"Plate16"
1,9,0,643,0.459613709914,0.669484419523,2.97233669831,0.943730588724,0.865715810114,929.537226201,0.368176764723,0.951788491446,537,164.208057986,0.90734369665,0.626115816488,7675.49473167,612,5,0,"Stain3",NA,"FT194",5000,NA,"Plate16"
2,7,0,248,0.413643371326,0.656037917359,2.86441898141,0.926541771993,0.813260078938,1334.45465062,0.455947950421,0.943548387097,158,208.578753057,0.887602606939,0.605407208169,8827.47351392,234,5,0,"Stain3",NA,"FT246",5000,NA,"Plate16"
2,8,0,222,0.411061872141,0.648901270094,2.78228075295,0.9345268288,0.802290287876,1605.62423983,0.50470124025,0.963963963964,157,203.504436973,0.89734744604,0.610956434665,8198.95395023,214,5,0,"Stain3",NA,"FT246",5000,NA,"Plate16"
2,9,0,294,0.42708239442,0.660597641015,2.86720955121,0.939441535613,0.829347097985,1208.18196732,0.452247925129,0.962585034014,204,187.85834635,0.89316358355,0.614791640879,9225.85065146,283,5,0,"Stain3",NA,"FT246",5000,NA,"Plate16"
3,7,0,107,0.464223072029,0.680237109954,2.93707920689,0.945753416591,0.855496219174,1229.6421132,0.411424170603,0.953271028037,98,135.325999351,0.776358437475,0.500722004828,8052.25983592,102,5,0,"Stain3",NA,"IOSE4",20000,NA,"Plate16"
3,8,0,112,0.461759489591,0.669913451325,3.01209697227,0.938108506132,0.864843726029,826.810739157,0.301686823873,0.982142857143,120,88.7291064091,0.739434882779,0.477234547444,9327.51436791,110,5,0,"Stain3",NA,"IOSE4",20000,NA,"Plate16"
3,9,0,111,0.466604409957,0.688411374963,2.88009491472,0.93781540505,0.842701743255,1561.57344668,0.474257981545,0.945945945946,87,135.909906452,0.782316937347,0.453105977566,10995.1172594,105,5,0,"Stain3",NA,"IOSE4",20000,NA,"Plate16"
1,7,0,271,0.424245440331,0.661986645171,2.87618761646,0.951268289202,0.846581133119,1649.87728072,0.373584815883,0.9963099631,199,126.442738242,0.84274105858,0.620311751184,14520.1693526,270,5,0,"Stain3",NA,"OV-1946",5000,NA,"Plate17"
