"Row","Column","Timepoint","Centrosomes...Number.of.Objects","Centrosomes...Relative.Spot.Intensity...Mean.per.Well","Centrosomes...Spot.Contrast...Mean.per.Well","Centrosomes...Spot.Area..µm.....Mean.per.Well","Centrosomes...Spot.Roundness...Mean.per.Well","Centrosomes...Spot.Ratio.Width.to.Length...Mean.per.Well","Centrosomes...Intensity...Centrin.3.Mean...Mean.per.Well","Centrosomes...Intensity...Centrin.3.Contrast...Mean.per.Well","Centrosomes...Centrin3.pos.Centrosomes...Mean.per.Well","Nuclei.Selected...Number.of.Objects","Nuclei.Selected...Nucleus.Area..µm.....Mean.per.Well","Nuclei.Selected...Nucleus.Roundness...Mean.per.Well","Nuclei.Selected...Nucleus.Ratio.Width.to.Length...Mean.per.Well","Nuclei.Selected...Intensity.Nuclei.Mean...Mean.per.Well","Centrin3.pos.Centrosomes...Number.of.Objects","Number.of.Analyzed.Fields","Time..s.","Compound","Concentration","Cell.Type","Cell.Count","X","Plate"
5,4,0,800,0.381727510669,0.673449713452,2.83665646699,0.933011547489,0.803503129958,534.259231403,0.385191569444,0.99875,879,135.520404826,0.9266427056,0.720439131505,4035.8087659,799,5,0,"Stain2",NA,"PEO1",15000,NA,"Plate5"
5,5,0,697,0.382948535614,0.674814570717,2.83478559082,0.932310626021,0.803701255259,529.856793735,0.384099446551,0.997130559541,750,153.158135453,0.89412540462,0.711817908526,3734.50145391,695,5,0,"Stain2",NA,"PEO1",15000,NA,"Plate5"
5,6,0,796,0.371661859351,0.663574474289,2.83126360412,0.931084668993,0.800416045232,522.910655788,0.365861987542,0.996231155779,829,161.682738024,0.898979306583,0.695506204716,5123.4346292,793,5,0,"Stain2",NA,"PEO1",15000,NA,"Plate5"
6,4,0,182,0.399887586785,0.673410211846,2.87007754509,0.938465402483,0.817499539971,317.521555023,0.23941142294,0.967032967033,145,288.658461909,0.839352611473,0.637458696673,5292.61320156,176,5,0,"Stain2",NA,"PEO14",5000,NA,"Plate5"
6,5,0,214,0.414492154744,0.675474371991,2.86782658635,0.936823023921,0.826062413107,357.571100289,0.285256498694,1,195,271.071012086,0.825842735083,0.641703888468,5377.86040297,214,5,0,"Stain2",NA,"PEO14",5000,NA,"Plate5"
6,6,0,263,0.392487412173,0.663373155523,2.89428625651,0.93878641635,0.830492097178,346.446906552,0.267190262591,0.988593155894,235,262.442423942,0.836250975868,0.63895370698,5545.42807045,260,5,0,"Stain2",NA,"PEO14",5000,NA,"Plate5"
1,4,0,341,0.424083412003,0.661476160876,2.85720801937,0.935604297344,0.822439065913,937.880044601,0.469761410891,0.994134897361,314,106.821529594,0.895472906112,0.699927983021,7482.10791087,339,5,0,"Stain2",NA,"ES-2",4000,NA,"Plate6"
1,5,0,1,0.311337766257,0.684060855965,2.9700394293,0.951099036811,0.80622577483,174.742424242,-0.0010961631045,0,15,91.8687196201,0.436234661311,0.377528536768,467.794666967,0,5,0,"Stain2",NA,"ES-2",4000,NA,"Plate6"
1,6,0,9,0.352646068073,0.642394322388,2.64753514784,0.93705951958,0.781203812423,467.56316547,0.329595023179,1,11,91.1303007261,0.770678732822,0.545987498664,13843.7168157,9,5,0,"Stain2",NA,"ES-2",4000,NA,"Plate6"
2,4,0,1076,0.453058102906,0.706488352309,2.8952614849,0.945724906246,0.843222660971,439.722977206,0.350684900096,0.996282527881,802,226.516146184,0.928154174802,0.706549511528,3721.14227292,1072,5,0,"Stain2",NA,"HOC-7",4000,NA,"Plate6"
2,5,0,1081,0.464018912775,0.716501141586,2.8865114934,0.945362140319,0.843796667554,422.641490729,0.329788193056,0.994449583719,761,232.698917095,0.941663920261,0.715274628476,4381.20310713,1075,5,0,"Stain2",NA,"HOC-7",4000,NA,"Plate6"
2,6,0,1026,0.461465955918,0.71601721982,2.88266984836,0.946870935969,0.841345423944,406.639857471,0.322070244596,0.990253411306,725,236.156214446,0.931538604949,0.699419050573,4176.65825515,1016,5,0,"Stain2",NA,"HOC-7",4000,NA,"Plate6"
3,4,0,651,0.338963107295,0.577692188138,2.68614165115,0.922093520183,0.777544843327,651.006678872,0.34936100757,0.984639016897,432,129.115672432,0.878126930151,0.615734306284,8007.3530892,641,5,0,"Stain2",NA,"OVCAR-8",5000,NA,"Plate6"
3,5,0,558,0.358363747958,0.591546161867,2.74749615231,0.92878765715,0.795891792152,660.482604313,0.347592043856,0.967741935484,385,120.757992755,0.881842726891,0.627057687376,9010.55745246,540,5,0,"Stain2",NA,"OVCAR-8",5000,NA,"Plate6"
3,6,0,449,0.344154586607,0.581815041439,2.70143898149,0.924119066656,0.782929675793,625.022083774,0.344510377828,0.968819599109,310,135.039970167,0.891448001848,0.621347878252,9308.16752337,435,5,0,"Stain2",NA,"OVCAR-8",5000,NA,"Plate6"
1,4,0,148,0.380183805805,0.605269990848,2.91063765842,0.924903438515,0.82593518374,507.023082801,0.412239785849,1,233,213.09886035,0.769034130144,0.578169559982,3942.86607716,148,5,0,"Stain2",NA,"CIOV6",10000,NA,"Plate7"
1,5,0,125,0.400217811696,0.615905373619,2.8798697979,0.934636534728,0.8374617721,517.730792086,0.414027760712,1,142,220.139185625,0.754465987895,0.592160820372,3818.49848913,125,5,0,"Stain2",NA,"CIOV6",10000,NA,"Plate7"
1,6,0,113,0.385442371416,0.612371406646,2.90671424083,0.924566661617,0.828051478631,514.662499641,0.411944433853,0.991150442478,193,202.594507906,0.691436222892,0.539585693047,2977.72824456,112,5,0,"Stain2",NA,"CIOV6",10000,NA,"Plate7"
2,4,0,676,0.409490054697,0.672276083004,2.81538737445,0.939233370105,0.814467132044,447.252463128,0.260271214616,0.995562130178,391,90.6868974451,0.839353159519,0.627658210458,8657.3328105,673,5,0,"Stain2",NA,"COV413A",15000,NA,"Plate7"
2,5,0,475,0.411818140065,0.678586955258,2.82925733825,0.935426605347,0.810905273089,461.157153939,0.2710123543,0.993684210526,343,83.5695036676,0.829644244125,0.618824687909,9254.38730022,472,5,0,"Stain2",NA,"COV413A",15000,NA,"Plate7"
2,6,0,461,0.406885527948,0.670972883349,2.82453666245,0.934957064853,0.81613819329,447.27064924,0.264772435007,0.989154013015,303,87.7741573644,0.823040253657,0.609434797869,8865.1779071,456,5,0,"Stain2",NA,"COV413A",15000,NA,"Plate7"
3,4,0,104,0.369196260089,0.608700152475,2.98170426989,0.940000848436,0.855959976805,556.056896506,0.339208255504,0.990384615385,400,131.105924038,0.642111011419,0.512393125782,4390.12544693,103,5,0,"Stain2",NA,"PEO16",15000,NA,"Plate7"
3,5,0,85,0.418646108631,0.654742615349,3.02477077197,0.944562367718,0.875376057327,557.077373705,0.34770416092,1,326,109.864050294,0.608974822889,0.473858549094,2994.98991675,85,5,0,"Stain2",NA,"PEO16",15000,NA,"Plate7"
3,6,0,189,0.459296914612,0.684034598584,2.97595175043,0.953242874297,0.88096018987,552.2002102,0.302735899636,0.994708994709,271,125.557361966,0.771791489567,0.576520183511,6134.71314518,188,5,0,"Stain2",NA,"PEO16",15000,NA,"Plate7"
4,4,0,1089,0.380858209967,0.651160937628,2.85673621643,0.932761819261,0.811594895177,440.83724277,0.304601666383,0.996326905418,1018,109.518183944,0.814975823359,0.652896059234,4296.04619685,1085,5,0,"Stain2",NA,"PEO4",20000,NA,"Plate7"
4,5,0,445,0.416675524139,0.675801291031,2.84463148046,0.937827703962,0.8201296489,423.221087689,0.252131461402,0.993258426966,308,87.9540393565,0.813137592694,0.635159766507,6500.06013347,442,5,0,"Stain2",NA,"PEO4",20000,NA,"Plate7"
4,6,0,1001,0.378578866302,0.65537773139,2.81187022605,0.930887698533,0.798078232371,427.090071547,0.290608670078,0.991008991009,880,112.74453049,0.825619340278,0.653382158183,4535.90813087,992,5,0,"Stain2",NA,"PEO4",20000,NA,"Plate7"
5,4,0,158,0.348267365787,0.623358508462,2.92053367557,0.924390673468,0.813061030799,546.53126131,0.372481843412,1,445,130.168184464,0.91280494595,0.729669363784,7429.63333896,158,5,0,"Stain2",NA,"PEO6",15000,NA,"Plate7"
5,5,0,147,0.335819028849,0.617262455948,2.83522623559,0.917699627948,0.791374883221,542.708625377,0.372744806914,0.993197278912,363,132.089382988,0.909878120081,0.72108593038,6615.99766334,146,5,0,"Stain2",NA,"PEO6",15000,NA,"Plate7"
5,6,0,189,0.373151136254,0.653169018783,2.84486986224,0.929820827165,0.802921714523,504.38478642,0.32863725914,1,239,114.666796228,0.912970259335,0.717236048353,8322.92170708,189,5,0,"Stain2",NA,"PEO6",15000,NA,"Plate7"
1,4,0,759,0.507528451431,0.728610074864,2.96245998152,0.953519256744,0.877937638348,308.747122566,0.144575255393,0.965744400527,583,180.513227287,0.906713636266,0.679345706012,7063.31074865,733,5,0,"Stain2",NA,"OAW42 NL",3000,NA,"Plate8"
1,5,0,816,0.513263546128,0.730192530516,2.95929819863,0.954111735189,0.879474700134,332.879744203,0.150696225632,0.963235294118,637,175.342785462,0.901822453682,0.667885996656,7011.47861788,786,5,0,"Stain2",NA,"OAW42 NL",3000,NA,"Plate8"
1,6,0,893,0.508052128299,0.730648858377,2.95461881169,0.953763942179,0.876348771636,307.897937059,0.131830744975,0.959686450168,657,174.146240703,0.912929545466,0.6781817391,7646.22622055,857,5,0,"Stain2",NA,"OAW42 NL",3000,NA,"Plate8"
2,4,0,228,0.404010081912,0.653175893934,2.88610585693,0.94111626176,0.832356192833,411.430763829,0.314853593104,0.995614035088,195,199.961854302,0.883853207041,0.670953046375,6820.20658582,227,5,0,"Stain2",NA,"OV17R NL",5000,NA,"Plate8"
2,5,0,330,0.409908629012,0.658195966593,2.90291547578,0.939953248371,0.836896445553,421.1813986,0.329087126617,0.99696969697,271,235.384069969,0.926499709143,0.719292723414,7378.85090322,329,5,0,"Stain2",NA,"OV17R NL",5000,NA,"Plate8"
2,6,0,339,0.418714893397,0.667014187099,2.88671989729,0.945704266233,0.834325096892,397.232769841,0.298002621077,0.982300884956,286,213.551847565,0.909477338275,0.702459636482,7220.44008483,333,5,0,"Stain2",NA,"OV17R NL",5000,NA,"Plate8"
3,4,0,51,0.382114621082,0.601426827939,2.74192742345,0.930725364338,0.803344197505,493.009276397,0.31631687666,0.980392156863,95,195.563977843,0.577924025751,0.477218538426,3603.96244677,50,5,0,"Stain2",NA,"OV56 NL",5000,NA,"Plate8"
3,5,0,35,0.410025652598,0.616598716985,2.8303287067,0.94040284424,0.83024497685,605.353124422,0.379150232513,1,92,112.477653056,0.521231669934,0.435199370525,1743.57713851,35,5,0,"Stain2",NA,"OV56 NL",5000,NA,"Plate8"
3,6,0,68,0.414107050519,0.646450400118,2.81131398401,0.928226989469,0.804662790562,476.239639583,0.330522148592,0.955882352941,48,190.497520229,0.767335190373,0.607148253613,6745.36853523,65,5,0,"Stain2",NA,"OV56 NL",5000,NA,"Plate8"
4,4,0,424,0.466856347023,0.681046200614,2.85606547451,0.942057971298,0.845424524044,329.525221974,0.211091526869,0.933962264151,367,135.854215185,0.881566312118,0.665555745249,8811.57576852,396,5,0,"Stain2",NA,"OVCAR-5",4000,NA,"Plate8"
4,5,0,433,0.483538407938,0.682152723629,2.92294080466,0.94960414391,0.866932349199,345.995297315,0.260148009044,0.949191685912,389,139.967015414,0.90743565836,0.668708858568,8294.18713876,411,5,0,"Stain2",NA,"OVCAR-5",4000,NA,"Plate8"
4,6,0,558,0.469447642305,0.679454823881,2.86305766201,0.944861546318,0.851674394445,325.997792886,0.22622570105,0.937275985663,448,132.600982289,0.952628001498,0.712164995504,9287.70099473,523,5,0,"Stain2",NA,"OVCAR-5",4000,NA,"Plate8"
5,4,0,246,0.425703380384,0.686265136254,2.92146235746,0.937879124316,0.847422237964,398.7749056,0.174309761381,0.939024390244,207,284.929972462,0.887100109883,0.638363618297,8938.04690339,231,5,0,"Stain2",NA,"PEA1",4000,NA,"Plate8"
5,5,0,287,0.446626506202,0.702365764644,2.95732199061,0.951997966016,0.861748934298,275.469363078,0.162979641247,0.954703832753,216,271.554202245,0.883070307724,0.64255211776,8861.84438481,274,5,0,"Stain2",NA,"PEA1",4000,NA,"Plate8"
5,6,0,337,0.436571538857,0.697190688447,2.96294914948,0.949869094474,0.86032899256,283.883250208,0.184985533431,0.967359050445,250,298.478209747,0.913118231927,0.665474832174,9137.69462135,326,5,0,"Stain2",NA,"PEA1",4000,NA,"Plate8"
1,4,0,6,0.448849853269,0.676374189247,2.80921657963,0.895929289377,0.778343562851,282.674773085,0.143055527235,1,46,73.4526888052,0.588441534191,0.399046151401,2615.21592138,6,5,0,"Stain2",NA,"FT194",5000,NA,"Plate10"
1,5,0,22,0.498348222449,0.697541317175,3.00322607518,0.953923077699,0.892597277718,484.60398279,0.283236324559,1,72,136.270445506,0.588997807421,0.440056904669,2747.24667193,22,5,0,"Stain2",NA,"FT194",5000,NA,"Plate10"
1,6,0,6,0.486560006623,0.702488995895,2.90673277599,0.957339719066,0.862357067746,385.470946344,0.231300287361,0.833333333333,66,108.870354883,0.486855674269,0.385898059366,825.031841309,5,5,0,"Stain2",NA,"FT194",5000,NA,"Plate10"
2,4,0,11,0.425552928075,0.681619928625,2.88047841543,0.934474960884,0.848816371232,322.581197662,0.192784002934,0.909090909091,33,104.904923541,0.532913334353,0.37436561673,1907.6856635,10,5,0,"Stain2",NA,"FT246",5000,NA,"Plate10"
2,5,0,4,0.348220471802,0.650082128578,2.5147926791,0.879271791552,0.722335985166,266.59199429,0.111438818453,0.75,43,149.463545163,0.552554632416,0.407668184602,749.446218211,3,5,0,"Stain2",NA,"FT246",5000,NA,"Plate10"
2,6,0,48,0.477319441894,0.667702205297,2.95736618564,0.951568698214,0.863753908009,434.301647538,0.259706068533,0.979166666667,81,118.41827907,0.646008144924,0.486701308339,6047.72694081,47,5,0,"Stain2",NA,"FT246",5000,NA,"Plate10"
3,4,0,24,0.285745589164,0.5527929593,2.30006951597,0.851297881452,0.664206242845,226.980524383,0.0608019777232,0.75,13,75.5779372703,0.732772834434,0.415343144823,18116.0384762,18,5,0,"Stain2",NA,"IOSE4",20000,NA,"Plate10"
3,5,0,29,0.264685675729,0.585185286189,2.2953812373,0.866830154508,0.677147680903,198.435755349,0.0173934766229,0.275862068966,57,100.004635974,0.552147252047,0.400222991975,2555.68331767,8,5,0,"Stain2",NA,"IOSE4",20000,NA,"Plate10"
3,6,0,15,0.243041715041,0.528640378886,2.32688646997,0.851052802741,0.663856950156,213.008998745,0.0339558696128,0.466666666667,45,112.474680794,0.558388326867,0.405795834679,1373.83099447,7,5,0,"Stain2",NA,"IOSE4",20000,NA,"Plate10"
