"cell_line","sample_id","Cell.Type","Media","OxygenConditions","Provider","Type","subtype","subtype2","comment","X..CA.cells","Centros..Size","Nuclei.intensity","X..MN.cells","Mitotic.index","X..yH2AX.cells","s1","s2","s3","s4","s5","s6","s7"
"OV-1369 (2)","JBLAB-6330","OV-1369(2)","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,35.50110197,2.847444893,10332.31078,41.30481444,0.04247791,0.101580317,NA,NA,NA,NA,NA,NA,NA
"OV17R","JBLAB-6388","OV17R NL","DMEM/F-12","21%","Jozien Helleman, Netherlands","ovarian adenocarcinoma","other","HGSOC",NA,15.61862393,2.915001166,7998.202585,10.91992642,0.034578359,0.016925159,0.198111771270473,0.144014685444873,0.0131498736771274,0.164834322517153,0.114323746048747,0.0147424418269402,0.350823159214687
"OV-1946","JBLAB-6371","OV-1946","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,29.95564282,2.97483842,13000.94645,17.41378331,0.069247808,0.033646631,0.305208634815135,0,0.16149893630111,0.266058634413782,0.0208136621262419,0.0115049934435243,0.234915138900207
"OV-2085","JBLAB-6338","OV-2085","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,20.74246808,2.939299577,10054.34406,29.6184893,0.041221049,0.031845543,0.0275063086551506,0.250241556477625,0.124679162649947,0.353325669655937,0,0.175925622837946,0.0683216797233938
"OV-2085 (2)","JBLAB-6391","OV-2085(2)","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,28.86114902,2.913910808,7652.193989,20.08279844,0.023306315,0.01491909,0.0248875218604773,0.269170985552717,0.0345618396920793,0.255840288664735,0.0285992343027144,0.173134626273663,0.213805503653613
"OV-2295","JBLAB-6363","OV-2295","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,30.45320879,2.91402262,7546.523689,29.72166615,0.045517433,0.047766123,0.262606634368194,0,0.336297176844588,0,0.160408916328802,0,0.240687272458416
"OV-2295 (2)","JBLAB-6368","OV-2295(2)","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,35.15037249,2.902838304,8505.960901,48.93760455,0.052255702,0.046714475,0.10817925948444,0,0,0.344325512345628,0.233552177458751,0.0409652639113404,0.272977786799841
"OV-2978","JBLAB-6395","OV-2978","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,44.08514236,2.994554246,8920.07162,21.82831061,0.025203564,0.025020815,NA,NA,NA,NA,NA,NA,NA
"OV-3133","JBLAB-6366","OV-3133","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,35.71271078,2.928043485,6921.945419,18.96659182,0.031117459,0.007640265,0,0.622653938732789,0,0.249950021396447,0.0631511819228664,0.0642448579478974,0
"OV-3133(2)",NA,"OV-3133(2)","OSE","5%","Mes Masson, Canada","HGSOC","HGSOC","HGSOC",NA,33.23437407,2.902301134,7348.192621,18.20250102,0.029452959,0.021295125,NA,NA,NA,NA,NA,NA,NA
