"s1","s2","s3","s4","s5","s6","s7","sample_id"
0.183773894686545,0.0801691635805111,0.169284117913906,0.326374201862745,0.057463312515089,0.0463773060472429,0.136558003393961,"JBLAB-6335"
0.160676327635617,0.135217053157879,0,0.251973010459023,0.0172607528185369,0.131835254891671,0.303037601037274,"JBLAB-6336"
0,0.217809783775456,0.0285920877531662,0.278593002537567,0.0286732420147123,0.155935844558358,0.290396039360741,"JBLAB-6337"
0.0275063086551506,0.250241556477625,0.124679162649947,0.353325669655937,0,0.175925622837946,0.0683216797233938,"JBLAB-6338"
0.295102507472783,0.155907632362328,0.340957496337684,0.0535451672716748,0,0.0827939738798413,0.0716932226756892,"JBLAB-6340"
0.40922902457738,0.173245450042354,0.154002987448087,0,0.0414497777216907,0.0624859444373948,0.159586815773093,"JBLAB-6341"
0.629286247976783,0.0649449775080423,0.305768774515174,0,0,0,0,"JBLAB-6342"
0.31647033389544,0.201750308039383,0.404352196754356,0,0,0.0774271613108204,0,"JBLAB-6343"
1,0,0,0,0,0,0,"JBLAB-6344"
0.865491775242134,0,0.110797859375394,0,0.0237103653824723,0,0,"JBLAB-6345"
0.924694420773311,0,0.0100150527363654,0,0.0652905264903238,0,0,"JBLAB-6346"
0.982959676070641,0,0,0,0.0170403239293585,0,0,"JBLAB-6347"
0,0.260399969944897,0.0735805101451226,0.322510007739672,0.0157280147054573,0.204807323454679,0.122974174010172,"JBLAB-6348"
0.98799780779424,0,0.0120021922057599,0,0,0,0,"JBLAB-6349"
0.0708037848400379,0.136499123660649,0.133290157980941,0.322465090489502,0.0442121725057896,0.171356834683639,0.121372835839442,"JBLAB-6350"
0.343282282412722,0.0319146393178496,0.456943875168243,0,0.0171765949050757,0,0.15068260819611,"JBLAB-6352"
0.450356101752045,0.0615583000313162,0.40248346088141,0,0,0,0.0856021373352291,"JBLAB-6353"
0.0694607163376253,0,0,0.532614178234865,0,0.244455097077755,0.153470008349754,"JBLAB-6354"
0.079645732950734,0.150527186442059,0.0867040560594609,0.553962912637419,0,0,0.129160111910327,"JBLAB-6355"
0.238588264211194,0,0,0.401672257688176,0.01076079077242,0.117376701466917,0.231601985861293,"JBLAB-6356"
0.332742438871051,0,0,0.11869125155101,0.293697721380126,0.0255319989627409,0.229336589235072,"JBLAB-6357"
0.24761434261774,0,0.299492674242265,0,0.327232385250039,0,0.125660597889956,"JBLAB-6358"
0.388172365033867,0.137877893317768,0.279702243119595,0,0.166597848889205,0.0276496496395652,0,"JBLAB-6360"
0.101821772996446,0.0535375501013712,0.082300950910761,0.205000723774729,0.205642411234414,0.0123830680564931,0.339313522925786,"JBLAB-6361"
0.189974904781505,0.166148145108186,0.0876828527207471,0.222779520628717,0.122339546017653,0.0385352979604907,0.172539732782701,"JBLAB-6362"
0.262606634368194,0,0.336297176844588,0,0.160408916328802,0,0.240687272458416,"JBLAB-6363"
0.324240351545988,0,0.0520794105383235,0.320810777061628,0.0299218499261329,0,0.272947610927928,"JBLAB-6365"
0,0.622653938732789,0,0.249950021396447,0.0631511819228664,0.0642448579478974,0,"JBLAB-6366"
0,0.157819863745925,0.103548824010614,0.231155077985075,0.16613079527931,0.0658974124750235,0.275448026504053,"JBLAB-6367"
